=Venemaa 26_H | a0: Venemaa, a0r: # 
=Abel 02_H | a0: Abel, b0: Abeli, b0r: Abele
=abielluma 27_V | a0: abiellu
=aksiom'aatiline 12_A | a0: aksiom'aatiline, b0: aksiom'aatilise, c0: aksiom'aatilis, b0v: aksiom'aatilisi
=Ameerika 01_H | a0: Ameerika, a0r: 0
=aplik'aat 22_S | at: aplik'aat, bt: aplik'aati, bn: aplikaadi, btv: aplik'aate, bnv: aplikaade
=Apollonios 11_S | a0: Apollonios, b0: Apolloniose, b0v: Apolloniosi
=Archimedes 09_H | a0: Archimedes, b0: Archimedese
=areafunktsi'oon 22_S | at: areafunktsi'oon, bt: areafunktsi'ooni, bn: areafunktsiooni, btv: areafunktsi'oone, bnv: areafunktsioone
=areakoosinus 11_S | a0: areakoosinus, b0: areakoosinuse, b0v: areakoosinusi
=areakootangens 02_S | a0: areakootangens, b0: areakootangensi, b0r: areakootangense
=areasiinus 09_S | a0: areasiinus, b0: areasiinuse
=areatangens 02_S | a0: areatangens, b0: areatangensi, b0r: areatangense
=arkusfunktsi'oon 22_S | at: arkusfunktsi'oon, bt: arkusfunktsi'ooni, bn: arkusfunktsiooni, btv: arkusfunktsi'oone, bnv: arkusfunktsioone
=arkuskoosinus 11_S | a0: arkuskoosinus, b0: arkuskoosinuse, b0v: arkuskoosinusi
=arkuskootangens 02_S | a0: arkuskootangens, b0: arkuskootangensi, b0r: arkuskootangense
=arkussiinus 09_S | a0: arkussiinus, b0: arkussiinuse
=arkustangens 02_S | a0: arkustangens, b0: arkustangensi, b0r: arkustangense
=assotsieerima 28_V | at: assotsieeri, an: assotsieeri
=asümpt'oot 22_S | at: asümpt'oot, bt: asümpt'ooti, bn: asümptoodi, btv: asümpt'oote, bnv: asümptoode
=autentima 28_V | at: aut'enti, an: autendi
=Bayes 02_H | a0: Bayes, b0: Bayesi, b0r: Bayese
=bijektsioon 22_S | at: bijektsioon, bt: bijektsiooni, bn: bijektsiooni, btv: bijektsioone, bnv: bijektsioone
=bikuupvõrrand 02_S | a0: bikuupvõrrand, b0: bikuupvõrrandi, b0r: bikuupvõrrande
=biruutvõrrand 02_S | a0: biruutvõrrand, b0: biruutvõrrandi, b0r: biruutvõrrande
=bisektor 02_S | a0: bisektor, b0: bisektori, b0r: bisektore
=boonus 09_A | a0: boonus, b0: boonuse
=boonus 11_A | a0: boonus, b0: boonuse, b0v: boonusi
=brauser 02_S | a0: brauser, b0: brauseri, b0r: brausere
=Cardano 01_H | a0: Cardano, a0r: 0
=Cartesius 11_H | a0: Cartesius, b0: Cartesiuse, b0v: Cartesiusi
=Cauchy 26_S | a0: Cauchy, a0r: #
=Cavalier 26_H | a0: Cavalier, a0r: #
=dekaeeder 02_S | a0: dekaeeder, b0: dekaeedri, b0r: dekaeedre
=dekagoon 22_S | at: dekagoon, bt: dekagooni, bn: dekagooni, btv: dekagoone, bnv: dekagoone
=delegeerima 28_V | at: delegeeri, an: delegeeri
=deltoid 22_S | at: deltoid, bt: deltoidi, bn: deltoidi, btv: deltoide, bnv: deltoide
=Descartes 11_H | a0: Descartes, b0: Descartese, b0v: Descartese
=digitalis'eerima 28_V | at: digitalis'eeri, an: digitaliseeri
=diofantiline 02_A | a0: diofantiline, b0: diofantilise, b0r: 0
=diskett 22_S | at: diskett, bt: disketti, bn: disketi, btv: diskette, bnv: diskete 
=diskriminant 22_S | at: diskriminant, bt: diskriminanti, bn: diskriminandi, btv: diskriminante, bnv: diskriminande
=dodekaeeder 02_S | a0: dodekaeeder, b0: dodekaeedri, b0r: dodekaeedre
=dodekagoon 22_S | at: dodekagoon, bt: dodekagooni, bn: dodekagooni, btv: dodekagoone, bnv: dodekagoone
=duplikatsioon 22_S | at: duplikatsioon, bt: duplikatsiooni, bn: duplikatsiooni, btv: duplikatsioone, bnv: duplikatsioone
=edaspidi 41_I
=edaspidine 10_A | a0: edaspidine, b0: edaspidise, c0: edaspidis
=eksponentsiaalne 02_A | a0: eksponentsiaalne, b0: eksponentsiaalse, b0r: 0
=ellipsogr'aaf 22_S | at: ellipsogr'aaf, bt: ellipsogr'aafi, bn: ellipsograafi, btv: ellipsogr'aafe, bnv: ellipsograafe
=enam-vähem 41_D
=erind 02_S | a0: erind, b0: erindi, b0r: erinde
=fikskoma'arv 22_S | at: fikskoma'arv, bt: fikskoma'arvu, bn: fikskomaarvu, btv: fikskoma'arve, bnv: fikskomaarve
=fokaalt'elg 22_S | at: fokaalt'elg, bt: fokaalt'elge, bn: fokaaltelje, btv: fokaalt'elgi, bnv: fokaalteli
=fokusseerima 28_V | at: fokus'eeri, an: fokusseeri
=formaatima 28_V | at: formaati, an: formaadi
=form'aatimine 12_S | a0: form'aatimine, b0: form'aatimise, c0: form'aatimis, b0v: form'aatimisi
=format'eerima 28_V | at: format'eeri, an: formateeri
